Title,Rating,Genres,Tags,Watchers,Popularity,Cast,Synopsis
"Bring It On, Ghost",8.1,"Comedy, Horror, Romance, Supernatural","Adapted From A Webtoon, Badass Female Lead, Bromance, Death, Exorcism, Ghost, Ghost-seeing Male Lead, Interspecies Romance, Nice Male Lead, Sassy Female Lead",87779.0,0.087,"David Lee, Kang Ki Young, Kim  Sang Ho, Kim So Hyun, Kwon Yool, Kwon Yul, Ok Taec Yeon","A cohabitation comedy about a ghost of a high school girl who has been dead for 5 years and an exorcist college boy with the ability to see and hear ghosts. What he’s discovered over the years is that he can touch them and fight them off, so when he’s in need of a part-time job and can’t find one that pays well enough, he starts putting ads online as an exorcist for hire. His ad: “Will face off with your ghosts. Chances of winning: virgin ghosts 80%, bachelor ghosts 40%, child ghosts 97%, the rest 50%.” One night he goes out on the job and faces off with a schoolgirl ghost, and during the fight, they accidentally kiss and sparks fly.~~ Adapted from the webtoon “Let's Fight, Ghost” (싸우자귀신아) by Iminsu (임인스)."
Cheese in the Trap,7.4,"Drama, Life, Psychological, Romance","Adapted From A Webtoon, Cold Male Lead, Enemies To Lovers, Love Triangle, Possessive Male Lead, Rich Male Lead, School Bullying, Smart Female Lead, Smart Male Lead, Stalking",107382.0,0.289,"Kim Go Eun, Lee Sung Kyung, Nam Joo Hyuk, Park Hae Jin, Park Min Ji, Seo Kang Joon","Having returned to college after a year long break due to her family's poor background, Hong Seol, a hardworking over-achiever, inadvertently gets on the wrong side of her senior, Yoo Jung, who's athletic, good looking, gets good grades and has a kind personality, as well as a hidden dark side. From then on her life takes a turn for the worse and Hong Seol is almost certain it's all Yoo Jung's doing. So why is he suddenly acting so friendly a year later?(Source: WeTV)~~ Adapted from the webtoon ""Cheese in the Trap"" (치즈인더트랩) by Soonkki (순끼)."
Chicago Typewriter ,8.7,"Comedy, Political, Romance, Supernatural","Bromance, Character Development, Flashback To Past, Hardworking Female Lead, Hardworking Male Lead, Patriotism, Reincarnation, Strong Female Lead, Successful Male Lead, Tragic Past",56141.0,-0.141,"Go Kyung Pyo, Im Soo Jung, Kwak Shi Yang, Yoo Ah In","This drama follows the lives of two men and a woman through two eras: one during the 1930s Japanese occupation of Korea and the other in the 21st century. The three main characters are:
(1) Han Se Joo was a writer in his past life and a bestselling author in the present. But Se Joo is depressed with writer’s block so he can't write his next book.
(2) Yu Jin Oh owned a bar in his previous life. In 2017, he is a talented ghostwriter who can bail Se Joo out of his predicament, but the mysterious man has a condition for his services. Se Joo may not be able to meet it.
(3) Jeon Seol was a sniper. Now she has extremely varied expertise. She is a former Olympian hopeful, a veterinarian, and a book lover who runs her own delivery service. She oscillates between extreme fandom and an anti-fandom of Se Joo.
The intricately woven story of these three characters unfolds to reveal strange mirroring connections between the time periods as well as possibilities for past lives to be redeemed or improved in the modern world. This story depicts Korea and the friendship between the three beautifully through different times."
Children of Nobody ,8.6,"Drama, Mystery, Psychological, Thriller","Child Abandonment, Child Abuse, Domestic Violence, Hallucination, Murder, Psychiatry, Smart Female Lead, Strong Female Lead, Tragic Past, Trauma",15242.0,-0.273,"Cha Hak Yeon, Kim Sun Ah, Lee Yi Kyung, Nam Gyu Ri","Cha Woo Kyung is a child counselor who works at a children’s center. Her life seems perfect since she is married to a great husband and is pregnant. However, her perfect life doesn't last long, when an accident changes her life. She then meets Kang Ji Hun, a detective who is strict toward criminals and believes they should be punished to the full extent."
Cinderella and the Four Knights,7.8,"Comedy, Drama, Romance","Adapted From A Manhwa, Cohabitation, Cold Man, First Love, Forbidden Love, Hardworking Female Lead, Multiple Mains, Poor Woman, Reverse-Harem, Rich Male Lead, Rich Man, Warm Woman",118752.0,0.257,"Ahn Jae Hyun, Choi Min, Choi Shang, Jung Il Woo, Lee Jung Shin, Park So Dam, Son Na Eun","Eun Ha Won is in her third year of high school with dreams of becoming a teacher. Unattached from her father, step-mother, and step-sister, and poorly treated by them, Ha Won still manages to maintain her bright personality and strong set of morals, working various part-time jobs to pay for her upcoming university tuition fees and keeping her eyes firmly glued to her goals.Meanwhile, in another part of the city are three spoiled cousins, Ji Woon, Hyun Min, and Seo Woo, living together in a mansion called Sky House. With their wildly different personalities - Ji Woon a tough guy, Hyun Min a playboy, and Seo Woo a musician - they all deeply dislike each other and prefer to be as far away from each other as possible.One day, their grandfather orders his 3 grandsons to attend his 5th wedding ceremony. Hyun Min doesn't want to go, but ultimately ends up hiring Ha Won to be his date for 3 hours so he can upstage his grandfather. His plans don't completely pan out, however, when the grandfather witnesses Ha Won's no-nonsense attitude towards Hyun Min and decides to hire her as a live-in butler and drill sergeant of sorts at Sky House. What follows is a lot of shenanigans, love triangles, drama, and plenty of sass."
City Hunter,8.37,"Action, Crime, Thriller","Adapted From A Manga, Badass Male Lead, Bromance, Corruption, Death, Hidden Identity, Poor Woman, Revenge, Rich Man, Romance, Smart Male Lead, Strong Female Lead, Strong Male Lead, Tragic Past",91101.0,0.049,"Hwang Sun Hee, Kim Mi Sook, Kim Sang Joong, Lee Joon Hyuk, Lee Min Ho, Park Min Young","Lee Yoon Sung is a talented MIT-graduate who works on the international communications team in the Blue House. He plans revenge on five politicians who caused his father's death with his surrogate father Lee Jin Pyo and eventually becomes a ""City Hunter""."
Coffee Prince,8.3,"Comedy, Drama, Food, Romance","Barista Female Lead, Boss-Employee Relationship, Bromance, Character Development, Cross-Dressing, Eccentric Female Lead, Family Pressure, Gender Bender, Hardworking Female Lead, Hidden Identity, Love Square, Poor Woman, Rich Man, Strong Female Lead, Tomboy Female Lead",104033.0,0.11,"Chae Jung An, Gong Yoo, Kim Chang Wan, Kim Dong Wook, Lee Sun Kyun, Yoon Eun Hye","Choi Han Gyul is the grandson of chairwoman Bang of Dong-in Foods, a company that has a thriving coffee business. He has never had a job and does not care for responsibility. Han Gyul is hung up on his first love, Han Yoo Joo, who only sees him as a friend. Go Eun Chan is a 24-year-old tomboy who is often mistaken for a guy. Her father died when she was 16 years old and since then she has taken over as the breadwinner in her family. When Han Gyul and Eun Chan meet, he, not knowing that she is a girl, decides to hire her to pretend to be his gay lover so that he can escape the blind dates arranged by his grandmother. After getting an ultimatum from his grandmother, Han Gyul takes over a rundown old coffee shop, later renamed ""Coffee Prince,"" to prove that he's capable, to both his grandmother and Yoo Joo. In order to attract female customers, he only hires good-looking male employees. Eun Chan, desperate for money, continues to hide her gender to get a job at the Coffee Prince."
Crash Landing on You,9.0,"Comedy, Military, Political, Romance","Army, Army Captain Male Lead, Army Officer, Calm Male Lead, Fate, Intercountry Romance, Lovers From Different Countries, Nice Male Lead, North And South Korea, North Korean, North and South Korea, Rich Female Lead, Soldier, Soldier Male Lead, Soldier Supporting Character, Star Crossed Lovers, Strong Male Lead",208913.0,0.367,"Hyun Bin, Kim Jung Hyun, Lee Shin Young, Seo Ji Hye, Son Ye Jin, Yang Kyung Won","After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another."
Crash Landing on You ,9.0,"Comedy, Military, Political, Romance","Calm Male Lead, Cohabitation, Fate, Friendship, Nice Male Lead, North And South Korea, Rich Female Lead, Smart Female Lead, Strong Female Lead, Strong Male Lead",146358.0,0.136,"Hyun Bin, Kim Jung Hyun, Seo Ji Hye, Son Ye Jin","After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another."
Cruel City ,8.6,"Action, Crime, Romance, Thriller","Badass Male Lead, Bromance, Detective Male Lead, Gang, Orphan Male Lead, Sismance, Smart Male Lead, Steamy Kiss, Strong Female Lead, Strong Male Lead",23663.0,-0.242,"Jung Kyung Ho, Kim Yoo Mi, Lee Jae Yoon, Nam Gyu Ri, Son Chang Min","Portrays the cruel life of the drug cartels and the story of revenge for a loved one.
Jung Shi Hyun is a newly appointed under-boss of the drug cartel. He lives in the shadows. No one knows his true name. No one knows his identity except the ones he calls friends. When Jung Shi Hyun is accused of murder, he is determined to find out who really killed the girlfriend of Ji Hyung Min. But is it really only for himself? Or does he have another reason to find out who killed her?
Ji Hyung Min is a detective who is seeking revenge for the death of his girlfriend. He only has one suspect in mind, Doctor's Son. He's determined to catch him and kill him for what he has done. But no one knows what Doctor's Son looks like or any details about him, so how is he supposed to know who he is and how to find him? He proceeds on a long journey to fight for justice."
D.P. ,8.8,"Action, Drama, Military","Adapted From A Webtoon, Bromance, Dark Fiction, Desertion, Harassment, Humiliation, Military Abuse, Miniseries, Sexual Assault, Violence",39966.0,-0.219,"Jung Hae In, Kim Sung Kyun, Koo Kyo Hwan, Son Seok Koo","Private soldier Jun Ho is a confused youth who served in the military normally like other Koreans. One day, he suddenly becomes a member of the military defector arrest team. As such, he is tasked with capturing deserters and must grapple with the more troubling cases of why some soldiers feel they have no other choice but go absent without official leave."
Dear My Friends ,8.7,"Drama, Life, Melodrama","Age Gap [Drama Life], Age Gap [Real Life], Elder Female Lead, Family Conflict, Generational Conflict, Life Lesson, Mother-Daughter Relationship, Mother-Son Relationship, Multiple Couples, Sismance",11811.0,-0.304,"Go Doo Shim, Go Hyun Jung, Joo Hyun, Kim Hye Ja, Kim Young Ok, Na Moon Hee, Park Won Sook, Shin Goo, Youn Yuh Jung","Park Wan is a translator who is constantly pulled by her mother, Jang Nan Hee, to hang out with her elder friends, Jo Hee Ja, Moon Jung Ah, Oh Choong Nam, and Lee Yeong Won. The plot revolves around the friends' twilight years as they are rediscovering themselves through relationships and family, the struggles they face due to their old age, and their life journey that they share with Park Wan in the hope she would write a novel about them."
Defendant ,8.7,"Drama, Law, Mystery, Thriller","Amnesia, Bromance, Competent Male Lead, Deception, Evil Twin, Good Twin, Identity Swap, Murder, Power Struggle, Suspense, Wrongfully Accused",27877.0,-0.245,"Ji Sung, Kwon Yu Ri, Oh Chang Seok, Uhm Hyun Kyung, Uhm Ki Joon","Park Jung Woo is a prosecutor at Seoul Central District Prosecutors’ Office. One day, he wakes up and finds himself a convict on death row. Suffering from temporary amnesia, Jung Woo has no idea what transpired to land him in prison. He struggles to recover his memory and clear his name before his time is up"
Descendants of the Sun,8.67,"Action, Comedy, Melodrama, Romance, Supernatural","Bromance, Charming Male Lead, Father-Daughter Relationship, Filmed Abroad, Friendship, Gun Violence, Hardworking Female Lead, Hardworking Male Lead, Harworking Female Lead, Medical, Military, Multiple Couples, Soldier, Strong Friendship",213187.0,0.444,"Jin Goo, Kim Ji Won, Lee Seung Joon, Lee Seung Jun, Seo Jung Yeon, Song Hye Kyo, Song Joong Ki",A love story that develops between a surgeon and a special forces officer.
Descendants of the Sun ,8.6,"Action, Comedy, Melodrama, Romance","Bromance, Calm Male Lead, Filmed Abroad, Friendship, Gun Violence, Hardworking Female Lead, Hardworking Male Lead, Multiple Couples, Propaganda, Strong Female Lead",162815.0,0.271,"Jin Goo, Kim Ji Won, Song Hye Kyo, Song Joong Ki","A love story that develops between a surgeon and a special forces officer.
Kang Mo Yeon is a pretty and assertive woman who works as a cardiothoracic surgeon at Haesung Hospital. She isn't afraid to admit her mistakes and believes that capability overrides whatever connections you have. However, she is soon faced with the reality that she cannot advance with just capability. Her life is forever changed when she encounters Yoo Shi Jin, the Captain and team leader of the Alpha Team who cares more about protecting anybody in need of help as well as his country, even if it goes against the order of his superiors. This drama will tell of how they both bond together in a time of war and overcome the odds against them."
Designated Survivor: 60 Days,8.6,"Drama, Mystery, Political, Thriller","Blue House, Conspiracy, Death, Deception, Lying, National Assembly, National Intelligence Service, Power Struggle, Social Commentary, Terrorism",13475.0,-0.28,"Choi Yoon Young, Heo Joon Ho, Ji Jin Hee, Kang Han Na, Lee Joon Hyuk, Son Seok Koo, Son Suk Ku","Park Moo Jin is a former professor of chemistry and now holds the Minister of Environment position. He doesn't have ambition, personal beliefs or political sense. One day, the cabinet is gathered in the National Assembly for the president's address. A terror attack takes place, killing many government officials, including the president and ministers. Park Moo Jin is the highest ranking government official left alive. He doesn't want the position, but he must sit as the acting president for 60 days. Park Moo Jin chases after the person or group responsible for the attack as he grows as a national leader."
Doom at Your Service,8.4,"Comedy, Drama, Fantasy, Romance","Brain Cancer, Brother-Sister Relationship, Eccentric Male Lead, Fate, First Love, Glioblastoma, Hardworking Female Lead, Illness, Supernatural Power, Terminal Illness, Unlucky Female Lead",115340.0,0.133,"Dawon, Kang Tae Oh, Lee Soo Hyuk, Park Bo Young, Seo In Guk, Shin Do Hyun","Tak Dong Kyung has been working hard ever since her parents passed away. Her life seemed more stable after working as a web novel editor for 6 years, but then she gets diagnosed with glioblastoma (brain cancer). She blames her unlucky life and wishes to curse everything to disappear, which unintentionally calls Myeol Mang, Doom himself - neither human nor god - to appear. Myeol Mang says that he can grant Dong Kyung's wishes. As her last hope, she makes a contract with Myeol Mang for a hundred days to live how she wants, risking her everything."
Dr. Romantic ,8.7,"Drama, Medical, Romance","Boss-Employee Relationship, Character Development, Hardworking Female Lead, Hardworking Male Lead, Male Chases Female First, Slow Burn Romance, Smart Female Lead, Smart Male Lead, Strong Male Lead, Trauma",54423.0,-0.147,"Han Seok Kyu, Seo Hyun Jin, Yoo Yeon Seok","Kim Sa Bu was once a famous surgeon at the peak of his career at a major hospital. But he suddenly gives it all up one day to live in seclusion and work as a neighborhood doctor in a small town. He now goes by “Teacher Kim” and refers to himself as the “Romantic Doctor”. Meanwhile, Kang Dong Joo became a doctor to make something of himself after growing up poor, and he seeks out VIP patients to achieve the success that he desperately wants. Yoon Seo Jung is a passionate young surgeon who is haunted by a mistake from her past and tries to get over it. When Dong Joo and Seo Jung meet the quirky Teacher Kim, their lives and careers will never be the same again."
Dr. Romantic Season 2,8.7,"Drama, Medical, Melodrama, Romance","Character Development, Friends To Lovers, Hardworking Female Lead, Hate Relationship, Healing, Hospital Setting, Love, Nervous Female Lead, Poor Man, Rich Woman, Slow Burn Romance, Smart Female Lead",42768.0,-0.19,"Ahn Hyo Seop, Han Seok Kyu, Kim Joo Heon, Lee Sung Kyung, Shin Dong Wook, So Ju Yeon","A “real doctor” story set in a small, humble hospital called Doldam Hospital. It is a story about people who meet Kim Sa Bu, a genius doctor, and discover “real romance.”
Kim Sa Bu once gained fame as a top surgeon at a huge hospital. One day, he disappeared from the eyes of the public, quietly becoming the chief surgeon at Doldam Hospital in the countryside. After he conducted a successful operation on Chairman Shin, he gets to improve the hospital under reliable support. But then Chairman Shin passes away, and an old foe returns. New people appear and his students had to leave the hospital. Furthermore, his wrist, which was injured three years ago, starts to act weird. Kim Sa Bu decides to go to a huge hospital himself to solve the manpower shortage at Doldam, where he finds two people who resemble his former students but who seem much more lacking. Seo Woo Jin would do anything for money, and Cha Eun Jae gets nauseous every time she tries to perform surgery. Will Kim Sa Bu be able to run Doldam Hospital with these two?"
Empress Ki ,8.6,"Historical, Melodrama, Political, Romance","Cross-Dressing, Female Lead Action Scenes, Goryeo Dynasty, Love Triangle, Possessive Male Lead, Power Struggle, Revenge, Smart Female Lead, Strong Female Lead, Yuan Dynasty",38050.0,-0.189,"Baek Jin Hee, Ha Ji Won, Ji Chang Wook, Joo Jin Mo","Genghis Khan built an empire that spanned vast regions in East Asia and East Europe. And there was one woman who held immense power in the Yuan Dynasty, which Genghis Khan founded, for 37 years. She was neither of Mongol descent nor from the Han Chinese. She came from Goryeo, a small kingdom in the Far East. She was taken to Mongol against her will as a Gungnyeo (palace women) but somehow overcame her lowly status to become the last empress in another land. Her name was Empress Ki."
